id,title,kind,rating,text,reportAccession,reportNumber,reportDate,page,url,source,firstSeenAt
05000255/2026090-02,Failure to Monitor Internal Dose,Finding / violation,Green,"Failure to Monitor Internal Dose
 Cornerstone           Significance                          Cross-Cutting        Report Section
                                                             Area
 Occupational        Green                                   Human               71124.04
 Radiation Safety    NCV 05000255/2026090-02                 Performance
                     Open/Closed
 The NRC identified a Green finding and associated Non-Cited Violation (NCV) of 10 CFR
 20.1502 when the licensee failed to assess internal dose for various individuals in elevated
 airborne areas.",ML26245A104,2026090,2026-08-31,5,https://www.nrc.gov/docs/ML2624/ML26245A104.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2026090-01,Failure to implement the radiation protection program for work activities with high alpha contamination levels,Finding / violation,Green,"Failure to implement the radiation protection program for work activities with high alpha
 contamination levels
 Cornerstone           Significance                          Cross-Cutting         Report Section
                                                             Area
 Occupational          Green                                 Problem               71124.01
 Radiation Safety      NCV 05000255/2026090-01               Identification and
                       Open/Closed                           Resolution
 The inspectors identified a Green Finding and associated Non-Cited Violations (NCVs) of
 T.S 5.4.1, 10 CFR 20.1501, 10 CFR 20.1702, 10 CFR 20.1902 and 10 CFR 20.1101 when the
 licensee failed to implement its radiation protection program for work activities with high alpha
 contamination levels.",ML26245A104,2026090,2026-08-31,5,https://www.nrc.gov/docs/ML2624/ML26245A104.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26225A336:Licensee-identified violation:71152A:1,Licensee-Identified Non-Cited Violation · 71152A,Licensee-identified violation,Severity Level IV,"Licensee-Identified Non-Cited Violation                                            71152A
This violation of very low safety significance was identified by the licensee and has been
entered into the licensee corrective action program and is being treated as a non-cited
violation, consistent with Section 2.3.2 of the Enforcement Policy.




Violation:

Title 10 of the Code of Federal Regulations (10 CFR) 55.25 requires that if, during the term of
the license, the licensed reactor operator or senior reactor operator develops a permanent
physical or mental condition that causes the licensee to fail to meet the requirements of
10 CFR 55.21, the facility shall notify the Commission within 30 days of learning of the
diagnoses, in accordance with 10 CFR 50.74(c). For conditions for which a conditional license
(as described in 10 CFR 55.33(b)) where a license condition is requested, the facility licensee
shall provide medical certification on Form NRC 396, “Certification of Medical Examination by
Facility Licensee” (as described in 10 CFR 55.23).

Contrary to the above, the facility licensee failed to notify the Commission within 30 days of the
diagnoses of changes in medical conditions on three separate occasions for licensed
operators that developed permanent physical conditions which caused the licensed operators
to fail to meet the requirements of 10 CFR 55.21. Specifically, on March 31, 2025, a license
class applicant informed the facility’s medical examiner that he was taking prescribed
medication. When the medical examiner completed the physical examination report to the
facility, the condition for the prescribed medication was not reported and the medical examiner
recommended that no conditions be placed on the license when issued. Once licensed, the
senior operator continued to take the medication as prescribed when performing licensed
duties. The licensed operator was later evaluated by the medical examiner as no longer
requiring the medication and the prescription was discontinued. As the operator no longer was
prescribed medication, the facility licensee determined that the operator license was correct
(no restrictions) and no report was now required.

Subsequently, on January 20, 2026, and on February 12, 2026, during biennial license
physical examinations the designated medical examiner determined that two licensed
operators did not meet the near vision requirement in ANSI/ANS-3.4-1983, “Medical
Certification and Monitoring of Personnel Requiring Operator Licenses for Nuclear Power
Plants.” The two licensed operators were administratively restricted from performing licensed
duties until they received and wore their prescription lenses.

On April 1, 2026, the facility licensee identified that the NRC had not been notified, via
Form 396, “Certification of Medical Examination by Facility Licensee,” about the permanent
change in the two licensed operators’ vision and their need for prescription lenses to maintain
their medical qualifications for their operator licenses. As noted, the facility did not determine
that the missed “take medication as prescribed” license condition for the licensed operator in
the first example must also be reported. The NRC was notified of the other two operators’
conditions in a letter dated April 2, 2026, with the revised NRC Form 396s sent to the NRC on
April 13, 2026.

The inspectors verified that the licensed operators did not perform licensed duties from the
time their changes in medical condition were identified until they received and wore their
prescription lenses. The inspectors also verified that the three licensed operators did not
commit any errors or been involved in any operational mishaps while performing licensed
duties from the time they received and wore their prescription lenses until the NRC was
notified and received the individuals updated NRC Form 396s with their lenses restriction.

Significance/Severity: Severity Level IV. The inspectors determined the violation to be a
Severity Level IV violation similar to Example 6.9.d.9 in the NRC Enforcement Policy.



Specifically, the licensee failed to make a report required by 10 CFR 50.74(c) to inform the
NRC of changes in operators’ medical conditions. In addition, the individuals adhered to the
ANSI 3.4 requirements to mitigate the changes in their medical conditions while performing
licensed duties.

Corrective Action References: CR 26013325 and CR 26014029",ML26225A336,2026002,2026-08-12,15,https://www.nrc.gov/docs/ML2622/ML26225A336.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26225A336:Licensee-identified violation:71111.20:1,Licensee-Identified Non-Cited Violation · 71111.20,Licensee-identified violation,Green,"Licensee-Identified Non-Cited Violation                                         71111.20
 This violation of very low safety significance was identified by the licensee and has been
 entered into the licensee corrective action program and is being treated as a non-cited
 violation, consistent with Section 2.3.2 of the Enforcement Policy.
 Violation:

 Title 10 of the Code of Federal Regulations (CFR) Part 26, “Fitness for Duty Programs,”
 Subpart 205, “Work Hours,” requires, in part, that licensees shall control work hours so an
 individual’s hours worked do not exceed 16 hours in any 24-hour period, 26 hours in any
 48-hour period, and 72 hours in any 7-day period. Additionally, it requires, in part, that
 licensees shall ensure that individuals have, at a minimum, a 34-hour break in any 9-day
 period.

 Contrary to the above, between March 28, 2026, and April 3, 2026, the licensee failed to
 ensure that individuals subject to the requirements of 10 CFR Part 26 complied with the
 work hour limitations and scheduling restrictions of Part 26. Specifically, the licensee failed
 to adequately schedule and control the work hours of 3 individuals performing work
 covered by the restrictions of 10 CFR Part 26 by not ensuring that the individuals ’ work
 hours did not exceed 72 hours in any 7-day period. Additionally, the licensee failed to
 ensure that the same individuals received at least a 34-hour break in any 9-day period.

 Significance/Severity: Green. The inspectors assessed the significance of the finding
 using IMC 0609 Appendix A, “The Significance Determination Process (SDP) for Findings
 At-Power.” Using Exhibit 2, “Mitigating Systems Screening Questions,” of IMC 0609
 Appendix A, Section A, the inspectors answered “No” to all of the questions, screening the
 finding to Green, as the work completed by the three individuals was verified by individuals
 who did meet the requirements of the Part 26 work hours restrictions, ensuring that the
 equipment maintained either its operability or functionality.

 Corrective Action References: CR 26013546, Fatigue Rule Violation",ML26225A336,2026002,2026-08-12,12,https://www.nrc.gov/docs/ML2622/ML26225A336.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2026002-02,Failure to Submit a Licensee Event Report for a Condition that Resulted in an Emergency Diesel Generator Actuation,Finding / violation,Severity Level IV,"Failure to Submit a Licensee Event Report for a Condition that Resulted in an Emergency
 Diesel Generator Actuation
 Cornerstone          Severity                                     Cross-Cutting      Report
                                                                   Area               Section
 Not Applicable       Severity Level IV                            Not Applicable     71153
                      NCV 05000255/2026002-02
                      Open/Closed
 An NRC-identified Severity Level IV non-cited violation (NCV) of 10CFR 50.73 (a)(2)(iv)(A) was
 identified when the licensee failed to submit a licensee event report (LER) within 60 days from
 the automatic actuation of emergency diesel generator (EDG) 1-2. Specifically, the licensee
 failed to recognize that the automatic actuation of EDG 1-2 on February 5, 2026, met
 reportability criteria based on plant conditions. The LER was submitted on May 4, 2026.",ML26225A336,2026002,2026-08-12,5,https://www.nrc.gov/docs/ML2622/ML26225A336.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2026002-01,Failure to Provide Work Instructions Appropriate for Work Activities,Finding / violation,Green,"Failure to Provide Work Instructions Appropriate for Work Activities
 Cornerstone          Significance                                 Cross-Cutting      Report
                                                                   Area               Section
 Mitigating Systems Green                                          Human              71152A
                    NCV 05000255/2026002-01                        Performance
                    Open/Closed
 The inspectors identified a Green finding and associated non-cited violation (NCV) of Technical
 Specification Section 5.4.1.a when the licensee failed to provide work instructions appropriate
 for the work activities. Specifically, in the first example, Work Order (WO) 588976-09 lacked
 sufficient detail for work near buried utilities. Second, troubleshooting activities were performed
 on the failed cables without written work instructions.",ML26225A336,2026002,2026-08-12,5,https://www.nrc.gov/docs/ML2622/ML26225A336.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26125A118:Minor violation:71152S:1,Minor Violation · 71152S,Minor violation,Minor,"Minor Violation                                                                           71152S
 Minor Violation: Beginning on February 24, 2026, the NRC reviewed a selection of condition
 reports that resulted in the identification of a minor violation associated with security
 requirements. Details of this minor violation are withheld from public release. The licensee
 entered the associated issues into its corrective action program.",ML26125A118,2026001,2026-05-05,16,https://www.nrc.gov/docs/ML2612/ML26125A118.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26125A118:Minor violation:71152A:1,Minor Violation · 71152A,Minor violation,Minor,"Minor Violation                                                                      71152A
Minor Violation: On February 16, 2026, the inspectors reviewed the licensee’s causal analysis
(CR 25015026) and associated corrective actions related to the inadvertent installation of
non-quality parts in the safety-related emergency diesel generators (EDGs) and main steam
safety system. Specifically, on or about December 13, 2025, the licensee identified that
multiple purchase orders that were issued for safety-related Swagelok check valves in
the fuel and/or air start systems for EDG 1-1 and EDG 1-2, along with refurbishment of
safety-related main steam safety valves in the main steam safety system, did not conform to
the procurement documents to ensure quality. Several of the purchased items were received
and installed in the plant, which included the EDG 1-1 fuel oil priming pump P-210A
discharge check valve (CK-DE400), EDG 1-2 fuel oil priming pump P-210B discharge check
valve (CK-DE401), and main steam safety valve (RV-0701).

The EDGs supply backup electrical power to various safety-related buses that power
plant equipment to ensure safe shut down and maintain core cooling if offsite power was lost.
The main steam safety system (steam generated from steam generators) contains 12
spring-loaded safety valves that function as overpressure protection in accordance with
American Society of Mechanical Engineers (ASME) Boiler and Pressure Vessel (B&PV)
code, Section III, Rules for Construction of Nuclear Facility Components. Title 10 of the
Code of Federal Regulations (10 CFR) Part 50, Appendix B, Criterion VII, “Control of
Purchased Material, Equipment, Services” requires, in part, that measures shall be
established to assure that purchased material, equipment, and services, whether purchased
directly or through contractors and subcontractors, conform to procurement documents.
These quality assurance processes are essential to provide reasonable assurance that
structures, systems, and/or components installed in the plant would perform their specified
safety function(s).

The licensee’s causal analysis concluded that procurement and receipt inspection processes
that support implementation of the Palisades quality assurance program were not consistently
performed with sufficient rigor to ensure safety-related components satisfy the quality
objectives identified on the qualified suppliers list (QSL), safety-related purchase orders,
and supporting quality documentation requirements prior to receipt acceptance or installation.
Supply chain did not perform the required verification and validation of controls and
procedures to ensure only qualified safety-related components were procured and installed.
For EDG 1-1 and EDG 1-2, Swagelok valves were purchased directly from Swagelok.
However, Swagelok was not specifically listed on the Palisades QSL to provide safety-related
valves and, therefore, was considered an unqualified supplier. For the main steam safety
valve refurbishments, although the supplier had maintained a quality assurance program, the
specific facility where repair work had been performed was a satellite location that had not
been audited and, therefore, should not have been on the Palisades QSL. A qualified supplier
was a supplier who had undergone a quality and technical evaluation by responsible
organizations and was approved to provide specific material or services as identified on the
QSL. In addition, the main steam safety valve purchase order stated, in part, repairs and
steam certification testing shall be performed in accordance with Holtec approved repair and
testing procedures as approved by the Palisades Program Engineer. On October 28, 2025,
the licensee identified that the repair plan had not been reviewed and approved by the
responsible engineer.

The inspectors determined that the licensee’s failure to assure that purchased material,
equipment, and services conformed to procurement documents in accordance with


10 CFR Part 50, Appendix B, Criterion VII, “Control of Purchased Material, Equipment,
Services,” was a performance deficiency. Specifically, documentation associated with several
emergency diesel generator and main steam safety system components, procured as
safety-related, did not satisfy purchase order requirements upon receipt and were not
identified during material receipt inspection. Licensee quality Procedure MP-120, “Material
Receipt,” Revision 0, step 7.7.6 states, in part, for quality inspection “supplier documentation
such as certificate of conformance, supporting documents or certificate of analysis attesting
to acceptable test results shall be reviewed in a manner to ensure purchase order
requirements are satisfied. Documentation received from a third-party dedicator and/or the
CGD [commercial grade dedication] lab shall also be reviewed in a reasonable manner to
verify accuracy, traceability to the purchase order, receipt lot/batch, etc. ensuring the CGD
acceptance criteria is satisfied.”

Screening: The inspectors determined the performance deficiency was minor. The main
steam system and EDG 1-1 had not been returned to service since Palisades re-entered
the Reactor Oversight Process on August 25, 2025, nor were required to be operable
per technical specifications in the mode of applicability (plant was in defueled condition).
EDG 1-2 was returned to service (operable) on November 11, 2025, to support irradiated
fuel movements in the spent fuel pool in accordance with Technical Specification 3.8.2,
Alternating Current Sources - Shutdown. Irradiated fuel movements commenced on
November 17, 2025, and completed on December 9, 2025. The licensee performed a
past operability evaluation regarding the installation of the non-quality (commercial grade,
not safety-related) fuel oil priming pump P210-B check valve (CK-DE401) and reasonably
concluded there were no operational impacts to EDG 1-2 during the periodic movement of
irradiated fuel in the spent fuel pool and the EDG remained capable of performing its intended
safety function. In addition, a supplier evaluation was performed on the main steam safety
valve repair facility satellite location and demonstrated compliance with applicable technical
and quality assurance requirements. Therefore, the inspectors determined the performance
deficiency was not reasonably viewed as a precursor to a significant event; if left uncorrected,
would not have the potential to lead to a more significant concern; was either not associated
with or did not adversely impact any of the cornerstone objectives; and was similar to
Inspection Manual Chapter 0612, Appendix E, “Examples of Minor Issues,” example 5.c.

Enforcement: 10 CFR Part 50, Appendix B, Criterion VII, “Control of Purchased Material,
Equipment, Services” states, in part, measures shall be established to assure that purchased
material, equipment, and services, whether purchased directly or through contractors and
subcontractors, conform to the procurement documents. These measures shall include
provisions, as appropriate, for source evaluation and selection, objective evidence of quality
furnished by the contractor or subcontractor, inspection at the contractor or subcontractor
source, and examination of products upon delivery. Documentary evidence that material and
equipment conform to the procurement requirements shall be available at the nuclear power
plant site prior to installation or use of such material and equipment. This documentary
evidence shall be retained at the nuclear power plant and shall be sufficient to identify the
specific requirements, such as codes, standards, or specifications, met by the purchased
material or equipment. The effectiveness of the control of quality by contractors and
subcontractors shall be assessed by the applicant or designee at intervals consistent with
the importance, complexity, and quantity of the product or services.

Contrary to the above, from July 25, 2025, [date of first Swagelok valve receipt inspection -
September 9, 2025, for main steam safety valve RV-0701] to December 13, 2025, [date CR
for Swagelok check valves written - November 4, 2025, for RV-0701] the licensee failed to


  assure that purchased material, equipment, and services conformed to procurement
  documents. Specifically, documentation associated with several emergency diesel generator
  and main steam safety system components procured as safety-related did not satisfy
  purchase order requirements upon receipt and were not identified during material receipt
  inspection.

  This failure to comply with 10 CFR 50, Appendix B, Criterion VII, “Control of Purchased
  Material, Equipment, Services” constitutes a minor violation that is not subject to enforcement
  action in accordance with the NRC’s Enforcement Policy.",ML26125A118,2026001,2026-05-05,14,https://www.nrc.gov/docs/ML2612/ML26125A118.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26125A118:Licensee-identified violation:71111.20:1,Licensee-Identified Non-Cited Violation · 71111.20,Licensee-identified violation,Green,"Licensee-Identified Non-Cited Violation                                           71111.20
 This violation of very-low safety significance was identified by the licensee and has been
 entered into the licensee corrective action program and is being treated as a non-cited
 violation, consistent with Section 2.3.2 of the Enforcement Policy.
 Violation: Title 10 of the Code of Federal Regulations (10 CFR) Part 26, “Fitness for Duty
 Programs,” subpart 205, “Work Hours,” requires, in part, that licensees shall control work
 hours so an individual’s hours worked do not exceed 16 hours in any 24-hour period, 26 hours
 in any 48-hour period, and 72 hours in any 7-day period. Additionally, it requires, in part, that
 licensees shall ensure that individuals have, at a minimum, a 34-hour break in any 9-day
 period.

 Contrary to the above, between February 24, 2026, and March 3, 2026, the licensee failed to
 ensure that individuals subject to the requirements of 10 CFR Part 26 complied with the work
 hour limitations and scheduling restrictions of Part 26. Specifically, the licensee failed to
 adequately schedule and control the work hours of three individuals performing work covered
 by the restrictions of 10 CFR Part 26 by not ensuring that the individuals’ work hours did not
 exceed 72 hours in any 7-day period. Additionally, the licensee failed to ensure that the same
 individuals received at least a 34-hour break in any 9-day period.
 Significance/Severity: Green. The inspectors assessed the significance of the finding using
 IMC 0609 Appendix A, “The Significance Determination Process (SDP) for Findings
 At-Power.” Using Exhibit 2, “Mitigating Systems Screening Questions,” of IMC 0609
 Appendix A, Section A, the inspectors answered “No” to all of the questions, screening the
 finding to Green, as the work completed by the three individuals was verified by individuals
 who did meet the requirements of the Part 26 work hours restrictions, ensuring that the
 equipment maintained either its operability or functionality.
 Corrective Action References: CR 26012156 - Violation of Fatigue Rule- ARC Pipefitters",ML26125A118,2026001,2026-05-05,11,https://www.nrc.gov/docs/ML2612/ML26125A118.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2026001-01,Failure to Maintain Adequate Fire Protection System Functional Test Procedure,Finding / violation,Green,"Failure to Maintain Adequate Fire Protection System Functional Test Procedure
 Cornerstone          Significance                                Cross-Cutting      Report
                                                                  Area               Section
 Mitigating Systems Green                                         Problem            71152A
                    NCV 05000255/2026001-01                       Identification and
                    Open/Closed                                   Resolution
 The inspectors identified a finding of very-low safety significance and associated violation of
 Technical Specification 5.4.1, “Procedures,” for the licensee’s failure to maintain fire protection
 system functional test procedure. Specifically, the licensee failed to maintain Procedure RO-52,
 “Fire Suppression Water System Functional Test and Fire Pump Capacity Test,” by failing to
 include appropriate acceptance criteria in the procedure to demonstrate fire protection system
 functionality.",ML26125A118,2026001,2026-05-05,5,https://www.nrc.gov/docs/ML2612/ML26125A118.pdf,NRC report text,2026-09-08T22:12:23.417707Z
